molecule_chembl_id,MW,LogP,TPSA,rot_bonds,HBD,HBA,ar_rings,veber_pass,gsk_4_400_pass,pfizer_3_75_high_risk,cyp3a4_risk_proxy,bbb_likely_permeable,admet_favourable_4of5
CHEMBL52829,280.3,2.54,66.8,3,1,6,3,True,True,False,False,True,True
CHEMBL51854,332.2,2.93,72.8,3,1,6,3,True,True,False,False,True,True
CHEMBL52591,266.3,2.51,75.6,3,2,6,3,True,True,False,False,True,True
CHEMBL285063,369.2,4.26,66.9,4,2,4,3,True,False,True,True,True,False
CHEMBL136404,384.2,4.05,79.8,4,2,5,3,True,False,False,True,True,False
CHEMBL334697,384.2,3.68,71.0,4,1,5,3,True,True,True,True,True,False
CHEMBL62176,282.4,3.19,32.3,2,1,2,2,True,True,True,False,True,True
CHEMBL299622,331.2,2.97,75.6,3,2,6,3,True,True,False,False,True,True
CHEMBL138363,384.2,4.05,79.8,4,2,5,3,True,False,False,True,True,False
CHEMBL299881,365.4,2.22,88.1,6,2,8,3,True,True,False,False,True,True
CHEMBL53711,344.2,3.6,53.9,3,1,5,3,True,True,True,True,True,False
CHEMBL136511,405.3,4.02,84.0,5,2,5,3,True,False,False,True,True,False
CHEMBL336264,391.3,3.45,84.8,4,1,6,3,True,True,False,True,True,True
CHEMBL53156,330.2,3.57,62.7,3,2,5,3,True,True,True,True,True,False
CHEMBL7775,343.4,4.08,61.4,4,2,4,3,True,False,True,True,True,False
CHEMBL335440,409.3,2.3,105.1,5,2,7,3,True,False,False,False,False,True
CHEMBL52015,343.2,4.2,41.1,3,1,4,3,True,False,True,True,True,False
CHEMBL53796,344.2,3.6,53.9,3,1,5,3,True,True,True,True,True,False
CHEMBL49596,321.2,2.88,73.8,1,1,4,3,True,True,False,False,True,True
CHEMBL50519,331.2,3.54,59.9,3,1,5,3,True,True,True,True,True,False
CHEMBL51659,370.2,3.66,79.8,4,2,5,3,True,True,False,True,True,True
CHEMBL53777,345.2,2.99,66.8,3,1,6,3,True,True,False,False,True,True
CHEMBL345077,375.3,3.78,73.8,4,1,5,3,True,True,True,True,True,False
CHEMBL107472,335.2,3.34,59.8,2,1,4,3,True,True,True,True,True,False
CHEMBL139095,406.3,3.42,96.9,5,2,6,3,True,False,False,True,False,False
CHEMBL50344,329.2,4.18,49.8,3,2,4,3,True,False,True,True,True,False
