molecule_chembl_id,smiles,pchembl_value,qed,sascore,mw,logp,hbd,hba,heavy_atoms,lipinski_pass,valid,max_tanimoto_to_known_drug,closest_known_drug
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,7.39,0.5833573872884239,2.8615668525262805,383.814,4.450340000000002,3,4,27,4,True,0.3218390804597701,Gefitinib
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,6.77,0.4896190037984267,2.989685295436498,482.9030000000001,3.614320000000001,3,6,34,4,True,0.3829787234042553,Gefitinib
CHEMBL137635,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,5.03,0.3910624471786627,2.7488412796024217,369.43200000000013,4.772000000000004,1,6,28,4,True,0.19753086419753085,Erlotinib
CHEMBL77085,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],4.02,0.45831740983805574,2.757018242790192,215.16799999999998,1.73096,1,5,16,4,True,0.09278350515463918,Afatinib
CHEMBL443268,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,5.28,0.3947889424056135,3.0704244284252855,539.9990000000001,3.228220000000002,3,7,38,3,True,0.4166666666666667,Gefitinib
CHEMBL76589,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,6.90,0.5962762438639292,2.8038339503247247,236.234,1.55914,2,5,18,4,True,0.0625,Afatinib
CHEMBL76904,N#CC(C#N)=Cc1ccc(O)c(O)c1,4.46,0.5137772505164835,2.6164129743561055,186.17,1.52836,2,4,14,4,True,0.07954545454545454,Osimertinib
CHEMBL304271,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,9.35,0.24754082172752753,3.601094190200958,542.0150000000001,3.57442,5,7,38,3,True,0.28205128205128205,Afatinib
CHEMBL296407,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,5.00,0.3698127948017662,2.383933118803917,204.18499999999997,0.4900799999999999,3,4,15,4,True,0.09782608695652174,Osimertinib
CHEMBL309625,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,4.22,0.3664761374796307,2.973796092959642,281.231,1.4673399999999999,2,7,21,4,True,0.0970873786407767,Afatinib
CHEMBL310798,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,5.52,0.4684715560327487,2.8505658111116094,202.16899999999998,1.2339599999999997,3,5,15,4,True,0.06666666666666667,Afatinib
CHEMBL135592,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,5.10,0.5863585687958219,2.6330411456482956,292.34600000000006,3.806600000000002,1,5,22,4,True,0.2054794520547945,Erlotinib
CHEMBL136491,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,7.85,0.562334654811535,2.5083034093374703,326.791,4.587100000000003,1,5,23,4,True,0.373134328358209,Erlotinib
CHEMBL336113,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,6.00,0.6850826391478327,1.9538218106573844,250.30500000000004,3.2640200000000004,2,4,19,4,True,0.4067796610169492,Erlotinib
CHEMBL133024,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,7.00,0.5515666779217898,2.472756770648296,312.76400000000007,4.435700000000002,2,5,22,4,True,0.36363636363636365,Erlotinib
CHEMBL344652,CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,4.88,0.5405957250697029,2.6637306820647417,306.373,3.958000000000003,0,5,23,4,True,0.19444444444444445,Erlotinib
CHEMBL47986,O=CN/C=C/c1cc(O)ccc1O,4.85,0.4748060149969757,2.9852935961626734,179.17499999999998,0.8144999999999998,3,3,13,4,True,0.1,Lapatinib
CHEMBL138125,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,6.62,0.3087140394645682,2.6698030960991783,434.30100000000016,5.510200000000003,2,6,28,3,True,0.32,Erlotinib
CHEMBL137364,Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,7.19,0.40854939506168275,2.744713043167021,456.34800000000035,4.247200000000003,2,7,29,4,True,0.4268292682926829,Gefitinib
CHEMBL302552,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,7.66,0.3594565557908185,3.033811991120107,511.9450000000004,2.895500000000001,4,7,36,3,True,0.4148936170212766,Gefitinib
CHEMBL309598,N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,4.87,0.3173124194911782,3.0613660577659143,218.16799999999998,1.1196599999999999,4,6,16,4,True,0.06153846153846154,Erlotinib
CHEMBL67057,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,8.35,0.2568545013389869,3.0786173695429815,559.6300000000002,4.824820000000003,3,6,42,3,True,0.25,Gefitinib
CHEMBL332096,Nc1ccc2ncnc(NCc3ccccc3)c2c1,6.29,0.7015050601686034,1.8682041633047373,250.30500000000004,2.8241000000000014,2,4,19,4,True,0.28125,Erlotinib
CHEMBL432903,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,6.70,0.3052677729267539,3.024389924455395,526.0160000000002,4.5219400000000025,4,6,37,3,True,0.2894736842105263,Afatinib
CHEMBL69964,Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,6.68,0.47806153545957186,3.0525979788732442,495.94600000000037,3.5295200000000015,3,6,35,4,True,0.3333333333333333,Gefitinib
CHEMBL65848,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,5.85,0.504608090635797,3.028284651024622,470.53300000000024,3.3105200000000012,3,6,35,4,True,0.2524271844660194,Gefitinib
CHEMBL76985,N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,4.33,0.45618784652979677,2.240301223869583,201.18099999999998,1.49068,1,3,15,4,True,0.07777777777777778,Osimertinib
CHEMBL69629,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,8.19,0.34910951558339387,3.0343179896124397,525.9720000000001,3.203920000000001,4,7,37,3,True,0.4166666666666667,Gefitinib
CHEMBL136492,CN(c1ccccc1)c1ncnc2ccc(N)cc12,5.08,0.7103069408166413,2.1602629295385043,250.30499999999998,2.9799000000000007,1,4,19,4,True,0.208955223880597,Erlotinib
