molecule_chembl_id,smiles,pchembl_value,qed,sascore,mw,logp,hbd,hba,heavy_atoms,lipinski_pass,valid,max_tanimoto_to_known_drug,closest_known_drug,murcko_scaffold
CHEMBL52829,Cc1cccc(Nc2ncnc3cnc(N(C)C)nc23)c1,8.40,0.7949409635456117,2.370062081970632,280.33500000000004,2.53782,1,6,21,4,True,0.31343283582089554,Erlotinib,c1ccc(Nc2ncnc3cncnc23)cc1
CHEMBL51854,COc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,8.42,0.7949884729056615,2.4199855566646473,332.16100000000006,2.9345,1,6,20,4,True,0.36923076923076925,Erlotinib,c1ccc(Nc2ncnc3cncnc23)cc1
CHEMBL52591,CNc1ncc2ncnc(Nc3cccc(C)c3)c2n1,8.37,0.7583117224232309,2.3212577052057615,266.308,2.5135200000000006,2,6,20,4,True,0.3181818181818182,Erlotinib,c1ccc(Nc2ncnc3cncnc23)cc1
CHEMBL285063,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.15,0.6747178471005569,2.2025614512955105,369.22200000000004,4.260400000000002,2,4,23,4,True,0.32857142857142857,Erlotinib,c1ccc(Nc2ncnc3ccccc23)cc1
CHEMBL136404,C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.30,0.6639155212371507,2.513495011347878,384.2370000000001,4.045500000000002,2,5,24,4,True,0.3333333333333333,Erlotinib,c1ccc(Nc2ncnc3cnccc23)cc1
CHEMBL334697,C=CC(=O)N(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.77,0.6952765618145935,2.6994233017275757,384.2370000000001,3.679700000000002,1,5,24,4,True,0.3424657534246575,Erlotinib,c1ccc(Nc2ncnc3cnccc23)cc1
CHEMBL62176,CN1C(=S)C(C(=O)Nc2ccccc2)c2ccccc21,6.00,0.8586192928395768,2.6706059108452074,282.36800000000005,3.1861000000000015,1,2,20,4,True,0.13978494623655913,Osimertinib,O=C(Nc1ccccc1)C1C(=S)Nc2ccccc21
CHEMBL299622,CNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,9.12,0.7684706048512752,2.4039144691314913,331.177,2.967600000000001,2,6,20,4,True,0.31343283582089554,Erlotinib,c1ccc(Nc2ncnc3cncnc23)cc1
CHEMBL138363,C=C(C)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.80,0.6639155212371507,2.490352487247936,384.2370000000001,4.045500000000002,2,5,24,4,True,0.3380281690140845,Erlotinib,c1ccc(Nc2ncnc3cnccc23)cc1
CHEMBL299881,Cc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,8.64,0.6874415906245668,2.4398671156841765,365.44100000000026,2.2159199999999997,2,8,27,4,True,0.36904761904761907,Gefitinib,c1ccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)cc1
CHEMBL53711,CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.59,0.7868681517234083,2.3673690050475535,344.216,3.5969000000000015,1,5,21,4,True,0.375,Erlotinib,c1ccc(Nc2ncnc3cnccc23)cc1
CHEMBL136511,C=CS(=O)(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.85,0.6700284684651479,2.42572352797192,405.2770000000001,4.0211000000000015,2,5,24,4,True,0.32857142857142857,Erlotinib,c1ccc(Nc2ncnc3ccccc23)cc1
CHEMBL336264,C=CS(=O)(=O)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.37,0.733517597044568,2.755099062914663,391.25000000000006,3.448100000000002,1,6,23,4,True,0.34782608695652173,Erlotinib,c1ccc(Nc2ncnc3cnccc23)cc1
CHEMBL53156,CNc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,8.51,0.7686164717854101,2.2949953709882536,330.1890000000001,3.5726000000000013,2,5,20,4,True,0.3181818181818182,Erlotinib,c1ccc(Nc2ncnc3cccnc23)cc1
CHEMBL7775,CN(c1ccccc1)c1cc2c(cc1Nc1ccccc1)C(=O)NC2=O,5.06,0.7008371023982791,2.312103335617506,343.3860000000001,4.081700000000002,2,4,26,4,True,0.16304347826086957,Osimertinib,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21
CHEMBL335440,O=S(=O)(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7.03,0.666313111899485,2.6590841614560805,409.2650000000001,2.2969,2,7,24,4,True,0.3380281690140845,Erlotinib,c1ccc(Nc2ncnc3cnccc23)cc1
CHEMBL52015,CN(C)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.08,0.7738001285832423,2.0969582358167838,343.228,4.201900000000003,1,4,21,4,True,0.38095238095238093,Erlotinib,c1ccc(Nc2ncnc3ccccc23)cc1
CHEMBL53796,CN(C)c1ccc2ncnc(Nc3cccc(Br)c3)c2n1,8.02,0.7868681517234083,2.3690766973552453,344.216,3.5969000000000015,1,5,21,4,True,0.31343283582089554,Erlotinib,c1ccc(Nc2ncnc3cccnc23)cc1
CHEMBL49596,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(N)nc21,5.25,0.747762929015181,2.418497201334027,321.1670000000001,2.8845,1,4,21,4,True,0.14583333333333334,Osimertinib,O=c1[nH]c2ncncc2cc1-c1ccccc1
CHEMBL50519,COc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,8.37,0.795411943732026,2.1961982887601383,331.17300000000006,3.539500000000002,1,5,20,4,True,0.375,Erlotinib,c1ccc(Nc2ncnc3cccnc23)cc1
CHEMBL51659,C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.04,0.6856015491097459,2.469502710036771,370.21000000000004,3.655400000000002,2,5,23,4,True,0.323943661971831,Erlotinib,c1ccc(Nc2ncnc3cnccc23)cc1
CHEMBL53777,CN(C)c1ncc2ncnc(Nc3cccc(Br)c3)c2n1,9.02,0.7872334360852137,2.44996362043217,345.20400000000006,2.9919000000000002,1,6,21,4,True,0.3088235294117647,Erlotinib,c1ccc(Nc2ncnc3cncnc23)cc1
CHEMBL345077,C=C[S+]([O-])c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.34,0.7028464941814128,3.7548989555786436,375.25100000000003,3.782000000000002,1,5,22,4,True,0.32857142857142857,Erlotinib,c1ccc(Nc2ncnc3cnccc23)cc1
CHEMBL107472,CNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,5.12,0.7802615156973672,2.4675233571867565,335.1940000000001,3.344000000000001,1,4,22,4,True,0.16666666666666666,Osimertinib,O=c1[nH]c2ncncc2cc1-c1ccccc1
CHEMBL139095,C=CS(=O)(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.12,0.6742049284000395,2.694656559646127,406.2650000000001,3.416100000000001,2,6,24,4,True,0.3194444444444444,Erlotinib,c1ccc(Nc2ncnc3cnccc23)cc1
CHEMBL50344,CNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.96,0.7568777143573949,2.0878234876991293,329.2010000000001,4.177600000000002,2,4,20,4,True,0.39344262295081966,Erlotinib,c1ccc(Nc2ncnc3ccccc23)cc1
